major_axis_offset_arcsec,minor_axis_integrated_flux_jy_per_arcsec
-0.15000000000003144,12058.597941348242
-0.0500000000000318,12030.042618786725
0.04999999999996785,12115.378759358835
0.1499999999999675,12224.11998313172
0.24999999999996714,12239.721964520257
0.3499999999999668,12347.50643214288
0.4499999999999664,12300.264193912415
0.5499999999999661,12457.074552809834
0.6499999999999657,12389.84134363546
0.7499999999999654,12500.90058176448
0.849999999999965,12442.234214942335
0.9499999999999647,12241.419114192438
1.0499999999999643,12001.919489793187
1.149999999999964,11749.49925144862
1.2499999999999636,11649.813112528396
1.3499999999999632,11667.91458986129
1.4499999999999629,11680.795579095107
1.5499999999999625,11654.764917548206
1.6499999999999622,11381.025233881923
1.7499999999999618,11239.529660589364
1.8499999999999615,11151.59044301738
1.949999999999961,10902.059301552983
2.0499999999999607,10676.638967125657
2.1499999999999604,10496.768144782292
2.24999999999996,10316.179346501194
2.3499999999999597,10089.889548381216
2.4499999999999593,9789.399040990282
2.549999999999959,9510.280098494439
2.6499999999999586,9150.970195713486
2.7499999999999583,8945.875118667786
2.849999999999958,8774.32529107627
2.9499999999999575,8571.771937390617
3.049999999999957,8275.338060754031
3.149999999999957,8095.727540512773
3.2499999999999565,7843.626296146277
3.349999999999956,7615.125866388726
3.4499999999999558,7454.771789739488
3.5499999999999554,7391.977171064963
3.649999999999955,7225.451603332356
3.7499999999999547,7207.061596757438
3.8499999999999543,7083.743096643473
3.949999999999954,6943.983685333976
4.049999999999954,6852.490841285059
4.149999999999953,6526.000276929431
4.249999999999953,6113.679515202843
4.349999999999953,5615.205583782246
4.449999999999952,5303.643754253154
4.549999999999952,5031.577050493524
4.6499999999999515,4803.700439550029
4.749999999999951,4594.117285804403
4.849999999999951,4396.4318469543805
4.94999999999995,4159.62983918174
5.04999999999995,3900.687294434915
5.14999999999995,3633.4889786747353
5.249999999999949,3460.5405323073624
5.349999999999949,3295.127704245836
5.449999999999949,3127.0344532113922
5.549999999999948,3066.888353839906
5.649999999999948,3035.3724437851743
5.749999999999948,2980.8335593869665
5.849999999999947,2934.9038079407287
5.949999999999947,2833.0837419396366
6.0499999999999465,2733.4662874873998
6.149999999999946,2597.6347564833213
6.249999999999946,2355.707691194556
6.3499999999999455,2171.7266752682995
6.449999999999945,1993.7299398476969
6.549999999999945,1914.752814491228
6.649999999999944,1869.7354263303052
6.749999999999944,1856.7269565127274
6.849999999999944,1869.2609668667203
6.949999999999943,1943.8926966740178
7.049999999999943,1891.4482511983147
7.149999999999943,1971.70224650851
7.249999999999942,2017.809980738246
7.349999999999942,2026.3019533497645
7.449999999999942,1870.6428168874183
7.549999999999941,1661.1694466562826
7.649999999999941,1456.4637841860583
7.7499999999999405,1207.3200677089378
7.84999999999994,982.674741523955
7.94999999999994,826.7881928791787
8.04999999999994,707.090784888426
8.149999999999938,597.7902076191116
8.24999999999994,475.0024269653676
8.349999999999937,273.41176649672076
8.449999999999939,185.5475848584326
8.549999999999937,111.26930250349727
8.649999999999938,67.85698445892218
8.749999999999936,49.65731196789438
8.849999999999937,40.28307702858015
8.949999999999935,41.69089828283192
9.049999999999937,36.05118319799671
9.149999999999935,17.842237633303803
9.249999999999936,8.23196080746132
9.349999999999934,0.21496671834029335
9.449999999999935,0.0
